Word,Freq,CD
scentless,8,6
school,5,4
scratchy,75,47
scrawny,448,238
searing,155,111
second,500,100
seed,2,1
sergeant,1,1
shadowy,1504,732
shaggy,692,300
shallow,5496,1444
sharp,12314,2479
sheer,6004,1638
shell,1,1
shimmering,1279,722
shiny,4309,1333
shock,2,2
short,39158,3703
shrill,876,370
silent,11551,2647
silky,1055,522
silver,10,3
sister,2,2
site,1,1
sizzling,283,199
skinny,3246,1028
slick,457,207
slimy,521,339
slippery,2056,706
slushy,101,74
small,139657,13585
smelly,536,363
smoky,1345,602
smooth,8227,2147
snarling,156,111
soapy,437,108
socialist,3741,1127
sodden,49,36
soft,21706,4283
soggy,818,538
solid,15028,3419
solution,1,1
sonorous,152,105
sore,2593,378
sound,457,142
soundless,152,106
sour,3930,688
sparkly,268,191
speckled,670,208
spicy,2117,924
spiky,459,292
spirit,2,2
spotless,425,224
spotted,1196,286
square,7009,284
stagnant,817,303
stale,1233,538
stay,5,4
steep,4874,957
sticky,2580,941
stinging,991,430
stinky,237,161
stop,4,4
stormy,1027,353
straight,9209,1475
strange,17967,4070
strength,1,1
striped,2175,709
strong,54921,7111
student,3,3
sturdy,2460,1179
substitute,85,64
success,1,1
sunny,4506,1212
sweaty,1456,600
sweet,16902,3607
swift,2062,722
swinging,608,252
talent,3,3
tall,14288,2618
tangerine,306,146
tangy,478,286
tapering,71,57
tart,126,78
taste,1,1
tasteless,267,181
tasty,1405,706
tax,17,12
team,1,1
tender,4073,1186
tepid,503,252
text,2,2
theory,1,1
thick,13708,2950
thorny,707,276
three,89,39
throw,1,1
thunderous,532,272
ticklish,82,53
tight,6035,1389
tinkling,221,83
tiny,27373,7643
title,2,2
tough,25479,3096
track,1,1
tractor,1,1
translucent,1140,569
transparent,2936,1148
trial,1,1
triangular,986,524
trim,167,54
trust,1,1
turn,3,3
type,11,11
ugly,6256,2126
under,11,7
uneven,1798,774
unpalatable,185,97
unripe,86,58
value,3,3
vegetal,84,59
vice,1658,50
view,1,1
vinegary,60,49
vivid,3671,1000
voluntary,4690,1320
vote,5,5
wage,2,2
wait,2,2
want,50,35
warm,18767,3108
waste,1,1
waxy,336,198
weak,10978,2490
weather,5,5
weightless,295,179
welcome,2631,585
wet,9951,2324
whiffy,3,2
whining,1,1
whistling,57,22
white,93934,10967
wide,26514,2988
win,4,3
window,5,4
wiry,672,275
wispy,514,273
wizened,2,2
woolly,517,221
work,23,23
worker,1,1
writing,2,2
wrong,18901,2161
yellow,17877,3924
